Date,Close
6/5/2014,58.1
6/6/2014,57.85
6/9/2014,57.94
6/10/2014,58.49
6/11/2014,58.81
6/12/2014,58.3
6/13/2014,58.24
6/16/2014,58.07
6/17/2014,58.06
6/18/2014,58.41
6/19/2014,58.3
6/20/2014,58.92
6/23/2014,58.5
6/24/2014,57.92
6/25/2014,58.86
6/26/2014,58.53
6/27/2014,57.53
6/30/2014,57.85
7/1/2014,58.51
7/2/2014,59.05
7/3/2014,59.2
7/7/2014,58.52
7/8/2014,58.17
7/9/2014,58.55
7/10/2014,58.58
7/11/2014,58.44
7/14/2014,58.18
7/15/2014,57.91
7/16/2014,58.15
7/17/2014,57.6
7/18/2014,58.34
7/21/2014,58
7/22/2014,58.43
7/23/2014,58.11
7/24/2014,58.21
7/25/2014,58.15
7/28/2014,57.97
7/29/2014,58.58
7/30/2014,58.08
7/31/2014,56.74
8/1/2014,56.8
8/4/2014,57.06
8/5/2014,56.03
8/6/2014,55.93
8/7/2014,55.64
8/8/2014,56.55
8/11/2014,56.66
8/12/2014,57.03
8/13/2014,57.85
8/14/2014,58.78
8/15/2014,58.61
8/18/2014,58.42
8/19/2014,58.91
8/20/2014,59.48
8/21/2014,58.85
8/22/2014,59.17
8/25/2014,59.73
8/26/2014,60.2
8/27/2014,60.28
8/28/2014,60
8/29/2014,60.11
9/2/2014,59.79
9/3/2014,60.48
9/4/2014,60.08
9/5/2014,61.18
9/8/2014,61.05
9/9/2014,60.56
9/10/2014,60.76
9/11/2014,60.1
9/12/2014,59.55
9/15/2014,59.52
9/16/2014,59.99
9/17/2014,59.88
9/18/2014,60.31
9/19/2014,60.49
9/22/2014,60.58
9/23/2014,60.28
9/24/2014,60.36
9/25/2014,59.64
9/26/2014,59.39
9/29/2014,59.41
9/30/2014,59.28
10/1/2014,58.71
10/2/2014,58.85
10/3/2014,59.9
10/6/2014,59.58
10/7/2014,58.46
10/8/2014,60.18
10/9/2014,59.21
10/10/2014,58.66
10/13/2014,56.14
